"date","hour","sample","sample_name","feature_name","feature_num","sample_num","cur_cover_rate","use_check_cover_rate","cur_fail_feature_count","max_fail_feature_count","sample_rate","alarm_threshold","pass","alarm","change_rate"
"2023-12-19","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","imei_tagid_clkseq_30d","111522","147178","0.7577355311255758","0.7525531495061677","12","45","0.01","0.3","1","0","0.006886399482626338"
"2023-12-19","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","act_adid_tagid_14d","74797","147178","0.5082077484406636","0.5434236421515305","12","45","0.01","0.3","1","0","0.0648037571045669"
"2023-12-19","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","realtime_download_appc2_list_v1","30331","147178","0.2060837896968297","0.25855645272705496","12","45","0.01","0.3","1","0","0.20294470502199383"
"2023-12-19","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","map_combine_ctr_tagid_ctr_level_1d_h","84091","147178","0.5713557732813328","0.6029968735748359","12","45","0.01","0.3","1","0","0.05247307520173439"
"2023-12-19","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","combine_ctr_combine_seq_last_session_data_type","57093","147178","0.3879180312274933","0.5656744239212734","12","45","0.01","0.3","0","0","0.31423798774844214"
"2023-12-19","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","realtime_download_appc1_list_v1","30331","147178","0.2060837896968297","0.2605513970474735","12","45","0.01","0.3","1","0","0.2090474584587224"
"2023-12-19","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","map_upid_delivery_ctr_level_7d","63533","147178","0.43167457092772016","0.4574419900038328","12","45","0.01","0.3","1","0","0.05632936992928159"
"2023-12-19","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","ad_title_qieci","21767","147178","0.14789574528801858","0.15054565835361253","12","45","0.01","0.3","1","0","0.017602055712358327"
"2023-12-19","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","realtime_download_appid_list_v1","31404","147178","0.21337428148228677","0.2949999974782086","12","45","0.01","0.3","1","0","0.2766973447243892"
"2023-12-19","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","browser_onetrack_category","41628","147178","0.28284118550326814","0.276269881255366","12","45","0.01","0.3","1","0","0.02378581486350318"
