"date","hour","sample","sample_name","feature_name","feature_num","sample_num","cur_cover_rate","use_check_cover_rate","cur_fail_feature_count","max_fail_feature_count","sample_rate","alarm_threshold","pass","alarm","change_rate"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","ad_title","86731","152820","0.5675369716005758","0.6318355979376684","9","45","0.01","0.3","1","0","0.10176480487482088"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","map_upid_delivery_ctr_level_7d","63489","152820","0.41544954848841775","0.4766420075450575","9","45","0.01","0.3","1","0","0.1283824297648695"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","imei_info","152820","152820","1.0","1.0","9","45","0.01","0.3","1","0","0.0"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","map_appc2_realtime_click_adid_list_v1","24433","152820","0.15988090564062296","0.17297150959580165","9","45","0.01","0.3","1","0","0.07568069438584815"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","map_appid_clkrank30","49334","152820","0.32282423766522705","0.3426979511083848","9","45","0.01","0.3","1","0","0.057991923730154736"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","did_game_pay_appc2_count_list","2561","152820","0.016758277712341316","0.01975721646489117","9","45","0.01","0.3","1","0","0.15178953765470987"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","union_upId","152820","152820","1.0","0.9999989711055692","9","45","0.01","0.3","1","0","1.0288954892795197E-6"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","user_ad_behavior","91533","152820","0.5989595602669807","0.6091160255547785","9","45","0.01","0.3","1","0","0.016674106182885853"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","game_did_paycall_pkglist","51667","152820","0.3380905640622955","0.37831430333520566","9","45","0.01","0.3","1","0","0.10632360161458104"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","context_time","152820","152820","1.0","1.0","9","45","0.01","0.3","1","0","0.0"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","ad_info","91846","152820","0.6010077215024211","0.7018851325638829","9","45","0.01","0.3","1","0","0.14372353307010713"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","user_dwn_behavior","122795","152820","0.803527025258474","0.794112785915493","9","45","0.01","0.3","1","0","0.011855040631448616"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","user_click_adid","149401","152820","0.9776272739170264","0.9664137851864798","9","45","0.01","0.3","1","0","0.011603196169623103"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","realtime_active_cnt_v1","29314","152820","0.19182044235047768","0.25235675915098305","9","45","0.01","0.3","1","0","0.23988387314915136"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","extraData","152820","152820","1.0","1.0","9","45","0.01","0.3","1","0","0.0"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","realtime_click_cnt_v1","88667","152820","0.580205470488156","0.6225932452465377","9","45","0.01","0.3","1","0","0.06808261265603163"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","did_user_payed_game_app_30d","2677","152820","0.01751734066221699","0.018957317148271913","9","45","0.01","0.3","1","0","0.07595887512944774"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","match_tagid_adid_act_7d","19339","152820","0.12654757230728964","0.1508018704971016","9","45","0.01","0.3","1","0","0.16083552617656768"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","realtime_active_appc2_list_v1","27400","152820","0.17929590367752912","0.222574426771272","9","45","0.01","0.3","1","0","0.1944451737854768"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","browser_onetrack_author","44593","152820","0.29180081141211883","0.2769108463758143","9","45","0.01","0.3","1","0","0.053771693059997905"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","ocpxDidRealTimeRecentListHash","60782","152820","0.3977358984426122","0.415589682785485","9","45","0.01","0.3","1","0","0.04296012408972245"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","match_tagid_appid_clk_7d","76778","152820","0.5024080617720194","0.5587554614841362","9","45","0.01","0.3","1","0","0.10084447239665444"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","map_combine_ctr_tagid_ctr_level_1d_h","89101","152820","0.5830454129040702","0.5912715969182314","9","45","0.01","0.3","1","0","0.013912699438019548"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","did_game_open_app_tag_count_list","99458","152820","0.6508179557649523","0.6796336201296693","9","45","0.01","0.3","1","0","0.042398821234328025"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","context_info","152820","152820","1.0","1.0","9","45","0.01","0.3","1","0","0.0"
"2023-12-20","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","map_appc2_clkrank30","68580","152820","0.44876325088339225","0.4731028960448711","9","45","0.01","0.3","1","0","0.05144683189419829"
