"date","hour","sample","sample_name","feature_name","feature_num","sample_num","cur_cover_rate","use_check_cover_rate","cur_fail_feature_count","max_fail_feature_count","sample_rate","alarm_threshold","pass","alarm","change_rate"
"2023-12-18","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","realtime_click_appc1_list_v1","88119","156455","0.5632226518807325","0.5321351719146392","13","45","0.01","0.3","1","0","0.05842026914747911"
"2023-12-18","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","user_topapp","150878","156455","0.964353967594516","0.9164905499019068","13","45","0.01","0.3","1","0","0.05222467127209554"
"2023-12-18","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","combine_ctr_combine_seq_last_session_ad_info","39987","156455","0.2555814771020421","0.3903458989047418","13","45","0.01","0.3","0","0","0.3452435959512591"
"2023-12-18","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","map_r_appid_combine_ctr_v","0","156455","0.0","0.0","13","45","0.01","0.3","0","0","0.0"
"2023-12-18","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","ad_prod_type","3462","156455","0.022127768367901313","0.025257435336679433","13","45","0.01","0.3","1","0","0.12391071884615082"
"2023-12-18","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","combine_ctr_combine_seq_last_session_app_usage_info","8915","156455","0.05698124061231664","0.10269171092997165","13","45","0.01","0.3","0","0","0.44512327142768376"
"2023-12-18","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","map_appc1_realtime_click_cnt_v1","36063","156455","0.23050078297273977","0.23684952664974687","13","45","0.01","0.3","1","0","0.026804966709499195"
"2023-12-18","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","extraData","156455","156455","1.0","1.0","13","45","0.01","0.3","1","0","0.0"
"2023-12-18","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","realtime_click_appid_list_v1","93459","156455","0.597353871720303","0.5944326999140983","13","45","0.01","0.3","1","0","0.0049142178864433235"
"2023-12-18","20","MergeUnionSampleRTV1","MergeUnionSampleRTV1","map_appc1_dw_combine_life_adid_seq_v1","81201","156455","0.5190054648301429","0.5346924477226815","13","45","0.01","0.3","1","0","0.02933832890169178"
